Home Team,Home Abbreviation,Home ID,Home Score,Home Q1,Home Q2,Home Q3,Home Q4,Away Team,Away Abbreviation,Away ID,Away Score,Away Q1,Away Q2,Away Q3,Away Q4
Charlotte Hornets,CHA,30,111.0,35.0,24.0,24.0,28.0,Milwaukee Bucks,MIL,15,100.0,27.0,23.0,22.0,28.0
Detroit Pistons,DET,8,124.0,35.0,33.0,27.0,29.0,Chicago Bulls,CHI,4,113.0,23.0,29.0,27.0,34.0
New York Knicks,NY,18,107.0,23.0,19.0,31.0,34.0,Orlando Magic,ORL,19,124.0,30.0,32.0,29.0,33.0
Boston Celtics,BOS,2,131.0,34.0,33.0,33.0,31.0,Memphis Grizzlies,MEM,29,95.0,26.0,20.0,28.0,21.0
Miami Heat,MIA,14,116.0,38.0,31.0,28.0,19.0,Cleveland Cavaliers,CLE,5,130.0,29.0,37.0,27.0,37.0
Houston Rockets,HOU,10,135.0,40.0,41.0,22.0,32.0,Washington Wizards,WSH,27,112.0,29.0,25.0,33.0,25.0
New Orleans Pelicans,NO,3,117.0,25.0,34.0,26.0,32.0,Portland Trail Blazers,POR,22,125.0,30.0,27.0,38.0,30.0
San Antonio Spurs,SA,24,120.0,28.0,28.0,28.0,36.0,Golden State Warriors,GS,9,125.0,14.0,35.0,43.0,33.0
Dallas Mavericks,DAL,6,114.0,28.0,25.0,28.0,33.0,Phoenix Suns,PHX,21,123.0,30.0,33.0,32.0,28.0
Oklahoma City Thunder,OKC,25,121.0,30.0,40.0,30.0,21.0,Los Angeles Lakers,LAL,13,92.0,18.0,20.0,26.0,28.0
Sacramento Kings,SAC,23,100.0,34.0,12.0,22.0,32.0,Atlanta Hawks,ATL,1,133.0,37.0,29.0,39.0,28.0
LA Clippers,LAC,12,116.0,35.0,33.0,22.0,26.0,Denver Nuggets,DEN,7,130.0,39.0,24.0,43.0,24.0
Cleveland Cavaliers,CLE,5,113.0,30.0,24.0,31.0,28.0,Toronto Raptors,TOR,28,126.0,29.0,38.0,23.0,36.0
Phoenix Suns,PHX,21,133.0,31.0,39.0,36.0,27.0,Indiana Pacers,IND,11,98.0,23.0,29.0,32.0,14.0
Utah Jazz,UTAH,26,122.0,33.0,34.0,36.0,19.0,Atlanta Hawks,ATL,1,132.0,42.0,38.0,23.0,29.0
New York Knicks,NY,18,140.0,32.0,46.0,32.0,30.0,Miami Heat,MIA,14,132.0,35.0,33.0,36.0,28.0
Orlando Magic,ORL,19,105.0,27.0,27.0,25.0,26.0,Brooklyn Nets,BKN,17,98.0,36.0,22.0,24.0,16.0
Detroit Pistons,DET,8,114.0,28.0,35.0,25.0,26.0,Philadelphia 76ers,PHI,20,105.0,27.0,27.0,36.0,15.0
Houston Rockets,HOU,10,140.0,41.0,28.0,36.0,35.0,Portland Trail Blazers,POR,22,116.0,32.0,28.0,31.0,25.0
Milwaukee Bucks,MIL,15,147.0,34.0,27.0,42.0,26.0,Charlotte Hornets,CHA,30,134.0,33.0,36.0,29.0,31.0
Minnesota Timberwolves,MIN,16,124.0,35.0,26.0,31.0,32.0,Sacramento Kings,SAC,23,110.0,30.0,31.0,30.0,19.0
New Orleans Pelicans,NO,3,104.0,25.0,27.0,25.0,27.0,Los Angeles Lakers,LAL,13,118.0,35.0,30.0,30.0,23.0
Dallas Mavericks,DAL,6,127.0,31.0,24.0,31.0,28.0,LA Clippers,LAC,12,133.0,34.0,28.0,31.0,21.0
San Antonio Spurs,SA,24,108.0,20.0,25.0,34.0,29.0,Golden State Warriors,GS,9,109.0,18.0,29.0,30.0,32.0
Cleveland Cavaliers,CLE,5,108.0,28.0,26.0,22.0,32.0,Memphis Grizzlies,MEM,29,100.0,32.0,29.0,23.0,16.0
Charlotte Hornets,CHA,30,96.0,30.0,22.0,18.0,26.0,Oklahoma City Thunder,OKC,25,109.0,30.0,25.0,32.0,22.0
Indiana Pacers,IND,11,111.0,29.0,24.0,32.0,26.0,Toronto Raptors,TOR,28,129.0,32.0,30.0,39.0,28.0
Milwaukee Bucks,MIL,15,95.0,18.0,16.0,38.0,23.0,Los Angeles Lakers,LAL,13,119.0,30.0,35.0,27.0,27.0
Minnesota Timberwolves,MIN,16,112.0,31.0,29.0,26.0,26.0,Denver Nuggets,DEN,7,123.0,29.0,26.0,32.0,36.0
Boston Celtics,BOS,2,121.0,37.0,26.0,27.0,31.0,LA Clippers,LAC,12,118.0,30.0,19.0,36.0,33.0
San Antonio Spurs,SA,24,123.0,36.0,31.0,28.0,28.0,Sacramento Kings,SAC,23,110.0,24.0,35.0,26.0,25.0
Washington Wizards,WSH,27,106.0,28.0,25.0,31.0,22.0,Brooklyn Nets,BKN,17,129.0,28.0,35.0,31.0,35.0
Houston Rockets,HOU,10,117.0,23.0,23.0,31.0,25.0,Orlando Magic,ORL,19,113.0,30.0,25.0,25.0,22.0
New Orleans Pelicans,NO,3,106.0,28.0,21.0,22.0,35.0,Golden State Warriors,GS,9,124.0,44.0,17.0,24.0,39.0
Dallas Mavericks,DAL,6,138.0,29.0,28.0,28.0,33.0,Portland Trail Blazers,POR,22,133.0,37.0,24.0,30.0,27.0
Phoenix Suns,PHX,21,122.0,21.0,37.0,37.0,27.0,Atlanta Hawks,ATL,1,124.0,25.0,32.0,20.0,47.0
Utah Jazz,UTAH,26,150.0,33.0,28.0,33.0,33.0,Chicago Bulls,CHI,4,147.0,33.0,37.0,28.0,29.0
Cleveland Cavaliers,CLE,5,118.0,26.0,33.0,33.0,26.0,Milwaukee Bucks,MIL,15,106.0,33.0,24.0,31.0,18.0
Detroit Pistons,DET,8,127.0,26.0,36.0,31.0,34.0,Indiana Pacers,IND,11,112.0,21.0,25.0,29.0,37.0
Philadelphia 76ers,PHI,20,110.0,25.0,21.0,27.0,37.0,LA Clippers,LAC,12,108.0,33.0,23.0,27.0,25.0
Miami Heat,MIA,14,115.0,25.0,30.0,28.0,32.0,New York Knicks,NY,18,113.0,20.0,31.0,31.0,31.0
Toronto Raptors,TOR,28,110.0,28.0,29.0,28.0,25.0,Charlotte Hornets,CHA,30,108.0,24.0,28.0,31.0,25.0
Minnesota Timberwolves,MIN,16,120.0,34.0,27.0,37.0,22.0,Dallas Mavericks,DAL,6,96.0,21.0,23.0,22.0,30.0
New Orleans Pelicans,NO,3,109.0,24.0,32.0,24.0,29.0,Oklahoma City Thunder,OKC,25,126.0,49.0,20.0,36.0,21.0
Denver Nuggets,DEN,7,127.0,28.0,36.0,29.0,34.0,Chicago Bulls,CHI,4,130.0,30.0,33.0,40.0,27.0
Orlando Magic,ORL,19,121.0,36.0,31.0,26.0,28.0,Golden State Warriors,GS,9,113.0,32.0,28.0,25.0,28.0
Brooklyn Nets,BKN,17,99.0,29.0,32.0,24.0,14.0,Boston Celtics,BOS,2,113.0,29.0,33.0,27.0,24.0
Atlanta Hawks,ATL,1,112.0,30.0,24.0,28.0,30.0,Detroit Pistons,DET,8,120.0,35.0,32.0,27.0,26.0
San Antonio Spurs,SA,24,111.0,23.0,26.0,37.0,25.0,Memphis Grizzlies,MEM,29,101.0,24.0,23.0,40.0,14.0
Los Angeles Lakers,LAL,13,140.0,27.0,40.0,37.0,36.0,Utah Jazz,UTAH,26,126.0,36.0,35.0,22.0,33.0
Portland Trail Blazers,POR,22,110.0,32.0,29.0,21.0,28.0,Phoenix Suns,PHX,21,127.0,35.0,29.0,36.0,27.0
Cleveland Cavaliers,CLE,5,104.0,19.0,21.0,30.0,34.0,Houston Rockets,HOU,10,114.0,33.0,24.0,17.0,40.0
Indiana Pacers,IND,11,127.0,38.0,32.0,34.0,23.0,Charlotte Hornets,CHA,30,118.0,33.0,21.0,30.0,34.0
Philadelphia 76ers,PHI,20,112.0,28.0,28.0,26.0,30.0,Toronto Raptors,TOR,28,121.0,33.0,20.0,44.0,24.0
Miami Heat,MIA,14,110.0,29.0,20.0,23.0,38.0,Golden State Warriors,GS,9,96.0,20.0,25.0,29.0,22.0
Minnesota Timberwolves,MIN,16,120.0,34.0,37.0,23.0,26.0,Washington Wizards,WSH,27,109.0,29.0,17.0,36.0,27.0
New Orleans Pelicans,NO,3,118.0,30.0,28.0,25.0,35.0,Denver Nuggets,DEN,7,125.0,26.0,36.0,35.0,28.0
Oklahoma City Thunder,OKC,25,113.0,27.0,31.0,25.0,30.0,Sacramento Kings,SAC,23,99.0,25.0,25.0,19.0,30.0
Dallas Mavericks,DAL,6,111.0,25.0,25.0,35.0,26.0,New York Knicks,NY,18,113.0,24.0,28.0,35.0,26.0
Portland Trail Blazers,POR,22,121.0,29.0,29.0,24.0,39.0,Chicago Bulls,CHI,4,122.0,28.0,34.0,36.0,24.0
Orlando Magic,ORL,19,129.0,30.0,31.0,32.0,36.0,LA Clippers,LAC,12,101.0,24.0,25.0,27.0,25.0
Memphis Grizzlies,MEM,29,137.0,35.0,40.0,38.0,24.0,Sacramento Kings,SAC,23,96.0,22.0,25.0,29.0,20.0
Milwaukee Bucks,MIL,15,114.0,20.0,37.0,24.0,25.0,Philadelphia 76ers,PHI,20,123.0,33.0,22.0,22.0,29.0
San Antonio Spurs,SA,24,135.0,28.0,46.0,21.0,40.0,Atlanta Hawks,ATL,1,126.0,34.0,26.0,32.0,34.0
Cleveland Cavaliers,CLE,5,120.0,33.0,29.0,38.0,20.0,Indiana Pacers,IND,11,109.0,31.0,24.0,26.0,28.0
Boston Celtics,BOS,2,105.0,28.0,25.0,24.0,28.0,Brooklyn Nets,BKN,17,113.0,22.0,40.0,30.0,21.0
Toronto Raptors,TOR,28,140.0,31.0,26.0,48.0,35.0,Washington Wizards,WSH,27,110.0,20.0,27.0,30.0,33.0
Chicago Bulls,CHI,4,107.0,32.0,20.0,23.0,32.0,Miami Heat,MIA,14,143.0,36.0,34.0,32.0,41.0
Dallas Mavericks,DAL,6,118.0,25.0,24.0,36.0,33.0,New Orleans Pelicans,NO,3,115.0,34.0,29.0,22.0,30.0
Phoenix Suns,PHX,21,114.0,32.0,30.0,19.0,33.0,Minnesota Timberwolves,MIN,16,113.0,24.0,25.0,33.0,31.0
Houston Rockets,HOU,10,109.0,12.0,37.0,29.0,31.0,Denver Nuggets,DEN,7,112.0,25.0,21.0,34.0,32.0
Utah Jazz,UTAH,26,112.0,44.0,24.0,20.0,24.0,Oklahoma City Thunder,OKC,25,144.0,30.0,37.0,43.0,34.0
Golden State Warriors,GS,9,123.0,28.0,44.0,25.0,26.0,Portland Trail Blazers,POR,22,127.0,35.0,30.0,29.0,33.0
Charlotte Hornets,CHA,30,116.0,30.0,27.0,25.0,34.0,LA Clippers,LAC,12,131.0,38.0,24.0,34.0,35.0
Orlando Magic,ORL,19,133.0,31.0,33.0,34.0,35.0,New York Knicks,NY,18,121.0,29.0,37.0,27.0,28.0
New Orleans Pelicans,NO,3,98.0,25.0,21.0,24.0,28.0,Atlanta Hawks,ATL,1,115.0,21.0,35.0,32.0,27.0
Chicago Bulls,CHI,4,121.0,40.0,24.0,28.0,29.0,Washington Wizards,WSH,27,120.0,41.0,29.0,28.0,22.0
Milwaukee Bucks,MIL,15,116.0,26.0,26.0,33.0,31.0,Detroit Pistons,DET,8,129.0,30.0,39.0,35.0,25.0
Dallas Mavericks,DAL,6,96.0,22.0,25.0,26.0,23.0,Memphis Grizzlies,MEM,29,102.0,21.0,22.0,33.0,26.0
Denver Nuggets,DEN,7,123.0,35.0,30.0,27.0,31.0,Sacramento Kings,SAC,23,128.0,30.0,31.0,30.0,37.0
Philadelphia 76ers,PHI,20,117.0,27.0,40.0,26.0,24.0,Miami Heat,MIA,14,127.0,37.0,34.0,28.0,28.0
Atlanta Hawks,ATL,1,113.0,28.0,25.0,39.0,21.0,Charlotte Hornets,CHA,30,110.0,25.0,30.0,33.0,22.0
Boston Celtics,BOS,2,138.0,32.0,48.0,30.0,28.0,Orlando Magic,ORL,19,129.0,27.0,30.0,32.0,40.0
Cleveland Cavaliers,CLE,5,120.0,27.0,32.0,33.0,28.0,LA Clippers,LAC,12,105.0,24.0,28.0,27.0,26.0
Toronto Raptors,TOR,28,119.0,34.0,31.0,22.0,32.0,Brooklyn Nets,BKN,17,109.0,28.0,30.0,24.0,27.0
Oklahoma City Thunder,OKC,25,122.0,39.0,28.0,29.0,26.0,Portland Trail Blazers,POR,22,95.0,18.0,28.0,22.0,27.0
Phoenix Suns,PHX,21,111.0,25.0,24.0,37.0,25.0,San Antonio Spurs,SA,24,102.0,30.0,26.0,24.0,22.0
Utah Jazz,UTAH,26,106.0,30.0,25.0,26.0,25.0,Los Angeles Lakers,LAL,13,108.0,32.0,30.0,22.0,24.0
Indiana Pacers,IND,11,117.0,32.0,23.0,33.0,29.0,Detroit Pistons,DET,8,122.0,35.0,36.0,30.0,21.0
Toronto Raptors,TOR,28,110.0,29.0,28.0,31.0,22.0,Cleveland Cavaliers,CLE,5,99.0,32.0,22.0,22.0,23.0
Brooklyn Nets,BKN,17,100.0,26.0,22.0,27.0,25.0,New York Knicks,NY,18,113.0,24.0,27.0,38.0,24.0
Miami Heat,MIA,14,106.0,20.0,32.0,28.0,26.0,Dallas Mavericks,DAL,6,102.0,19.0,25.0,28.0,30.0
Memphis Grizzlies,MEM,29,115.0,23.0,31.0,31.0,30.0,Denver Nuggets,DEN,7,125.0,27.0,35.0,31.0,32.0
Milwaukee Bucks,MIL,15,103.0,27.0,26.0,21.0,29.0,Portland Trail Blazers,POR,22,115.0,32.0,33.0,30.0,20.0
New Orleans Pelicans,NO,3,143.0,37.0,37.0,34.0,35.0,Chicago Bulls,CHI,4,130.0,30.0,28.0,35.0,37.0
Phoenix Suns,PHX,21,92.0,23.0,27.0,25.0,17.0,Houston Rockets,HOU,10,114.0,30.0,29.0,25.0,30.0
Golden State Warriors,GS,9,134.0,26.0,41.0,39.0,28.0,Utah Jazz,UTAH,26,117.0,35.0,20.0,29.0,33.0
Sacramento Kings,SAC,23,117.0,23.0,23.0,31.0,24.0,Minnesota Timberwolves,MIN,16,112.0,27.0,27.0,28.0,19.0
Washington Wizards,WSH,27,132.0,45.0,32.0,34.0,21.0,Atlanta Hawks,ATL,1,113.0,23.0,32.0,23.0,35.0
Philadelphia 76ers,PHI,20,103.0,35.0,25.0,23.0,20.0,Orlando Magic,ORL,19,144.0,35.0,51.0,35.0,23.0
Los Angeles Lakers,LAL,13,135.0,37.0,32.0,29.0,37.0,LA Clippers,LAC,12,118.0,38.0,28.0,27.0,25.0
Boston Celtics,BOS,2,117.0,24.0,33.0,29.0,31.0,Detroit Pistons,DET,8,114.0,30.0,28.0,25.0,31.0
Charlotte Hornets,CHA,30,101.0,31.0,16.0,28.0,26.0,New York Knicks,NY,18,129.0,37.0,35.0,26.0,31.0
Miami Heat,MIA,14,106.0,29.0,24.0,28.0,25.0,Milwaukee Bucks,MIL,15,103.0,27.0,20.0,30.0,26.0
Toronto Raptors,TOR,28,97.0,21.0,29.0,26.0,21.0,Indiana Pacers,IND,11,95.0,25.0,24.0,21.0,25.0
Oklahoma City Thunder,OKC,25,113.0,24.0,25.0,29.0,35.0,Minnesota Timberwolves,MIN,16,105.0,17.0,22.0,32.0,34.0
New Orleans Pelicans,NO,3,128.0,39.0,29.0,32.0,22.0,Memphis Grizzlies,MEM,29,133.0,25.0,28.0,39.0,30.0
Golden State Warriors,GS,9,100.0,25.0,34.0,17.0,24.0,Houston Rockets,HOU,10,104.0,22.0,25.0,27.0,30.0
Portland Trail Blazers,POR,22,102.0,30.0,24.0,32.0,16.0,San Antonio Spurs,SA,24,115.0,29.0,27.0,35.0,24.0
Sacramento Kings,SAC,23,100.0,16.0,29.0,28.0,27.0,Phoenix Suns,PHX,21,112.0,41.0,26.0,16.0,29.0
Atlanta Hawks,ATL,1,130.0,33.0,27.0,37.0,33.0,Cleveland Cavaliers,CLE,5,123.0,23.0,39.0,28.0,33.0
Brooklyn Nets,BKN,17,103.0,23.0,25.0,27.0,28.0,Philadelphia 76ers,PHI,20,115.0,31.0,32.0,24.0,28.0
Charlotte Hornets,CHA,30,123.0,32.0,35.0,26.0,30.0,Chicago Bulls,CHI,4,116.0,29.0,33.0,32.0,22.0
Detroit Pistons,DET,8,109.0,33.0,25.0,26.0,25.0,Orlando Magic,ORL,19,112.0,31.0,28.0,30.0,23.0
Indiana Pacers,IND,11,119.0,30.0,34.0,30.0,25.0,Washington Wizards,WSH,27,86.0,24.0,28.0,21.0,13.0
New York Knicks,NY,18,118.0,33.0,28.0,31.0,26.0,Milwaukee Bucks,MIL,15,109.0,37.0,25.0,26.0,21.0
Oklahoma City Thunder,OKC,25,123.0,25.0,31.0,38.0,29.0,Phoenix Suns,PHX,21,119.0,25.0,27.0,30.0,37.0
Denver Nuggets,DEN,7,136.0,33.0,41.0,30.0,32.0,San Antonio Spurs,SA,24,139.0,41.0,18.0,44.0,36.0
Utah Jazz,UTAH,26,128.0,30.0,32.0,28.0,38.0,Sacramento Kings,SAC,23,119.0,27.0,24.0,22.0,46.0
Los Angeles Lakers,LAL,13,129.0,28.0,32.0,38.0,31.0,Dallas Mavericks,DAL,6,119.0,22.0,40.0,32.0,25.0
LA Clippers,LAC,12,107.0,35.0,28.0,18.0,26.0,Memphis Grizzlies,MEM,29,112.0,24.0,26.0,28.0,34.0
Minnesota Timberwolves,MIN,16,119.0,32.0,27.0,35.0,25.0,Boston Celtics,BOS,2,115.0,36.0,33.0,23.0,23.0
Charlotte Hornets,CHA,30,118.0,21.0,31.0,28.0,24.0,Toronto Raptors,TOR,28,111.0,34.0,24.0,29.0,17.0
Indiana Pacers,IND,11,103.0,26.0,35.0,25.0,17.0,Chicago Bulls,CHI,4,101.0,27.0,27.0,26.0,21.0
Miami Heat,MIA,14,135.0,23.0,36.0,32.0,44.0,Detroit Pistons,DET,8,138.0,36.0,35.0,37.0,30.0
Milwaukee Bucks,MIL,15,116.0,32.0,39.0,28.0,17.0,Brooklyn Nets,BKN,17,99.0,29.0,24.0,17.0,29.0
Golden State Warriors,GS,9,104.0,17.0,25.0,31.0,31.0,New Orleans Pelicans,NO,3,96.0,18.0,20.0,34.0,24.0
Phoenix Suns,PHX,21,112.0,25.0,35.0,25.0,27.0,Denver Nuggets,DEN,7,130.0,30.0,33.0,33.0,34.0
LA Clippers,LAC,12,110.0,28.0,28.0,27.0,27.0,Dallas Mavericks,DAL,6,114.0,25.0,24.0,34.0,31.0
Utah Jazz,UTAH,26,101.0,21.0,27.0,20.0,33.0,Houston Rockets,HOU,10,129.0,30.0,37.0,31.0,31.0
Cleveland Cavaliers,CLE,5,115.0,26.0,25.0,28.0,36.0,Boston Celtics,BOS,2,117.0,28.0,30.0,32.0,27.0
New York Knicks,NY,18,116.0,41.0,18.0,34.0,23.0,Toronto Raptors,TOR,28,94.0,22.0,30.0,25.0,17.0
Philadelphia 76ers,PHI,20,134.0,29.0,29.0,31.0,26.0,Atlanta Hawks,ATL,1,142.0,25.0,32.0,26.0,32.0
Portland Trail Blazers,POR,22,115.0,19.0,36.0,32.0,28.0,Oklahoma City Thunder,OKC,25,123.0,24.0,30.0,31.0,38.0
Minnesota Timberwolves,MIN,16,125.0,32.0,29.0,28.0,36.0,San Antonio Spurs,SA,24,112.0,37.0,25.0,31.0,19.0
Sacramento Kings,SAC,23,107.0,35.0,24.0,28.0,20.0,Memphis Grizzlies,MEM,29,115.0,31.0,31.0,21.0,32.0
Los Angeles Lakers,LAL,13,133.0,46.0,31.0,31.0,25.0,New Orleans Pelicans,NO,3,121.0,27.0,30.0,35.0,29.0
Detroit Pistons,DET,8,99.0,25.0,25.0,24.0,25.0,Atlanta Hawks,ATL,1,98.0,27.0,22.0,19.0,30.0
Indiana Pacers,IND,11,119.0,25.0,29.0,36.0,29.0,Cleveland Cavaliers,CLE,5,135.0,37.0,29.0,33.0,36.0
Washington Wizards,WSH,27,129.0,28.0,30.0,33.0,38.0,Milwaukee Bucks,MIL,15,126.0,34.0,32.0,28.0,32.0
Brooklyn Nets,BKN,17,116.0,26.0,33.0,29.0,28.0,Charlotte Hornets,CHA,30,103.0,27.0,32.0,23.0,21.0
Miami Heat,MIA,14,140.0,35.0,41.0,38.0,26.0,LA Clippers,LAC,12,123.0,24.0,32.0,26.0,41.0
Orlando Magic,ORL,19,125.0,29.0,24.0,32.0,40.0,Chicago Bulls,CHI,4,120.0,26.0,27.0,32.0,35.0
Denver Nuggets,DEN,7,121.0,41.0,27.0,36.0,17.0,Dallas Mavericks,DAL,6,131.0,27.0,42.0,33.0,29.0
Utah Jazz,UTAH,26,133.0,31.0,37.0,30.0,35.0,Houston Rockets,HOU,10,125.0,32.0,25.0,32.0,36.0
Los Angeles Lakers,LAL,13,108.0,31.0,21.0,25.0,31.0,Phoenix Suns,PHX,21,125.0,31.0,35.0,30.0,29.0
Philadelphia 76ers,PHI,20,121.0,34.0,32.0,35.0,20.0,Washington Wizards,WSH,27,102.0,31.0,23.0,23.0,25.0
Toronto Raptors,TOR,28,121.0,37.0,28.0,32.0,24.0,Portland Trail Blazers,POR,22,118.0,39.0,20.0,23.0,36.0
Boston Celtics,BOS,2,123.0,21.0,37.0,36.0,29.0,New York Knicks,NY,18,117.0,32.0,20.0,24.0,41.0
New Orleans Pelicans,NO,3,142.0,25.0,43.0,35.0,26.0,Minnesota Timberwolves,MIN,16,149.0,31.0,27.0,42.0,29.0
San Antonio Spurs,SA,24,126.0,36.0,27.0,34.0,29.0,Memphis Grizzlies,MEM,29,119.0,32.0,27.0,39.0,21.0
Golden State Warriors,GS,9,112.0,26.0,18.0,44.0,24.0,Oklahoma City Thunder,OKC,25,124.0,32.0,31.0,28.0,33.0
Cleveland Cavaliers,CLE,5,110.0,33.0,25.0,27.0,25.0,Portland Trail Blazers,POR,22,122.0,36.0,32.0,31.0,23.0
Indiana Pacers,IND,11,120.0,28.0,20.0,31.0,41.0,Denver Nuggets,DEN,7,135.0,33.0,39.0,30.0,33.0
Orlando Magic,ORL,19,112.0,29.0,20.0,30.0,33.0,San Antonio Spurs,SA,24,114.0,31.0,27.0,28.0,28.0
Atlanta Hawks,ATL,1,92.0,21.0,20.0,32.0,19.0,LA Clippers,LAC,12,115.0,27.0,28.0,39.0,21.0
New York Knicks,NY,18,119.0,27.0,26.0,37.0,29.0,Charlotte Hornets,CHA,30,104.0,12.0,35.0,28.0,29.0
Chicago Bulls,CHI,4,103.0,24.0,20.0,31.0,28.0,Brooklyn Nets,BKN,17,113.0,29.0,25.0,29.0,30.0
Houston Rockets,HOU,10,121.0,28.0,23.0,36.0,34.0,Sacramento Kings,SAC,23,95.0,26.0,26.0,19.0,24.0
Milwaukee Bucks,MIL,15,113.0,21.0,28.0,29.0,35.0,Detroit Pistons,DET,8,109.0,30.0,22.0,33.0,24.0
Dallas Mavericks,DAL,6,118.0,28.0,36.0,29.0,25.0,Miami Heat,MIA,14,108.0,33.0,21.0,26.0,28.0
Philadelphia 76ers,PHI,20,99.0,30.0,26.0,24.0,19.0,Golden State Warriors,GS,9,98.0,10.0,24.0,32.0,32.0
Washington Wizards,WSH,27,101.0,26.0,33.0,27.0,15.0,Boston Celtics,BOS,2,146.0,32.0,34.0,43.0,37.0
Brooklyn Nets,BKN,17,110.0,29.0,29.0,32.0,20.0,Utah Jazz,UTAH,26,123.0,20.0,29.0,32.0,42.0
